satellite_1,satellite_2,distance_km,relative_speed_km_s,altitude_diff_km,inclination_diff_deg,object_type_risk,time_to_event_hours,collision_occurred,collision_probability
Envisat,DEBRIS_A,5.831,3.251,372,46.9,0.8,55.08680543067187,0,0.9718
Tiangong,GPS-79,10.351,1.395,19811,13.5,0.2,90.28018837133416,0,0.99
GPS-79,Iridium-33 Debris,6.767,9.724,19420,31.4,0.9,95.9336773539103,0,0.906
Hubble,Cosmos-1408 Debris,6.82,7.368,132,54.1,0.9,142.95226124468894,0,0.9526
Cosmos-1408 Debris,Starlink-1001,88.473,13.459,135,29.6,0.9,96.8101343495703,0,0.99
Iridium-33 Debris,DEBRIS_B,12.205,8.617,232,57.9,0.9,47.10848982556172,0,0.99
DEBRIS_B,Tiangong,4.164,1.811,159,13.0,0.8,102.6231051259501,0,0.9585
Starlink-1001,ISS,6.912,6.869,142,1.4,0.2,92.21046350181592,0,0.8576
Envisat,GPS-79,21.421,8.975,19418,43.5,0.2,79.27764205757158,0,0.99
Tiangong,DEBRIS_A,40.532,14.865,21,10.2,0.8,34.51980390793854,0,0.99
Starlink-1001,Tiangong,20.825,12.013,161,11.5,0.2,138.63977641672065,0,0.99
Cosmos-1408 Debris,Envisat,13.312,10.276,367,16.0,0.9,75.98217015810869,0,0.99
Starlink-1001,DEBRIS_A,7.451,8.025,140,1.4,0.8,11.28534897041817,0,0.9487
ISS,Starlink-1001,17.749,2.584,142,1.4,0.2,147.62182847120027,0,0.99
Tiangong,Iridium-33 Debris,5.603,3.802,391,44.9,0.9,125.00858252295247,0,0.9696
DEBRIS_A,DEBRIS_B,25.827,1.748,138,23.2,0.8,142.2193397822256,0,0.99
DEBRIS_A,Starlink-1001,19.216,10.829,140,1.4,0.8,107.74868756144141,0,0.99
Tiangong,Envisat,35.863,8.793,393,57.1,0.2,67.40295287461514,0,0.99
Iridium-33 Debris,Envisat,1.617,13.789,2,12.1,0.9,132.75521057313415,0,0.1783
DEBRIS_B,GPS-79,8.278,11.073,19652,26.5,0.8,156.9802217797176,0,0.9181
Tiangong,Hubble,1.997,13.821,158,13.0,0.2,146.15559919023133,0,0.0602
DEBRIS_A,Starlink-1001,24.357,0.169,140,1.4,0.8,56.09451092694311,0,0.99
DEBRIS_B,ISS,20.063,6.838,140,23.2,0.8,37.81114977162297,0,0.99
Starlink-1001,DEBRIS_B,22.746,4.236,2,24.5,0.8,37.0543222442162,0,0.99
Hubble,DEBRIS_B,8.033,1.372,1,0.0,0.8,167.47518688493457,0,0.99
Tiangong,Starlink-1001,3.444,2.941,161,11.5,0.2,6.23668923169513,0,0.7755
Envisat,Cosmos-1408 Debris,11.468,7.268,367,16.0,0.9,83.5483062070877,0,0.99
Tiangong,DEBRIS_A,11.217,12.031,21,10.2,0.8,164.4625880399199,0,0.9734
DEBRIS_B,GPS-79,10.563,8.966,19652,26.5,0.8,57.063642185970465,0,0.9851
Envisat,GPS-79,29.038,12.47,19418,43.5,0.2,66.78711462293856,0,0.99
Tiangong,Cosmos-1408 Debris,28.271,1.929,26,41.1,0.9,147.25496033946183,0,0.99
GPS-79,Tiangong,7.163,8.895,19811,13.5,0.2,45.10788529416093,0,0.788
Cosmos-1408 Debris,DEBRIS_A,55.064,11.718,5,30.9,0.9,19.28054776203463,0,0.99
Iridium-33 Debris,Cosmos-1408 Debris,11.701,9.539,365,3.8,0.9,43.399342384234664,0,0.99
Envisat,Tiangong,17.627,10.279,393,57.1,0.2,138.21183276557005,0,0.99
Hubble,Envisat,26.557,3.176,235,70.1,0.2,1.9461996317588723,0,0.99
DEBRIS_B,Tiangong,10.226,8.642,159,13.0,0.8,140.81815911763587,0,0.984
Tiangong,DEBRIS_A,22.11,1.117,21,10.2,0.8,140.64556253903862,0,0.99
DEBRIS_A,Iridium-33 Debris,41.429,11.015,370,34.8,0.9,36.18848956538806,0,0.99
Iridium-33 Debris,GPS-79,13.626,5.08,19420,31.4,0.9,129.5361590089235,0,0.99
Cosmos-1408 Debris,Starlink-1001,8.559,3.771,135,29.6,0.9,137.62727913749814,0,0.99
DEBRIS_B,Envisat,24.709,14.435,234,70.1,0.8,132.74327652115264,0,0.99
Starlink-1001,Tiangong,21.347,10.889,161,11.5,0.2,107.09118224665484,0,0.99
GPS-79,Iridium-33 Debris,16.626,0.758,19420,31.4,0.9,98.86948479525142,0,0.99
Cosmos-1408 Debris,DEBRIS_B,17.931,4.531,133,54.1,0.9,155.30612120371944,0,0.99
ISS,DEBRIS_A,11.086,9.704,2,0.0,0.8,109.263098139418,0,0.9857
GPS-79,Envisat,6.23,10.899,19418,43.5,0.2,11.073329620142424,0,0.561
Hubble,DEBRIS_B,32.57,9.276,1,0.0,0.8,39.21389581113511,0,0.99
DEBRIS_B,Cosmos-1408 Debris,7.267,13.996,133,54.1,0.9,11.857987595000386,0,0.7746
Starlink-1001,Envisat,21.933,6.325,232,45.5,0.2,70.84584068232007,0,0.99
Envisat,Tiangong,5.271,3.581,393,57.1,0.2,7.16744653994516,0,0.8767
Cosmos-1408 Debris,Starlink-1001,23.992,3.959,135,29.6,0.9,98.9182550446079,0,0.99
Cosmos-1408 Debris,DEBRIS_A,70.942,3.552,5,30.9,0.9,158.3846648772876,0,0.99
Cosmos-1408 Debris,ISS,3.736,2.878,7,30.9,0.9,130.99223311185787,0,0.9429
Cosmos-1408 Debris,Tiangong,2.866,6.004,26,41.1,0.9,127.40824007071693,0,0.8071
Starlink-1001,Envisat,0.532,13.434,232,45.5,0.2,144.5152924765694,0,0.0334
Starlink-1001,GPS-79,28.678,0.628,19650,2.0,0.2,55.34772424560135,0,0.99
ISS,DEBRIS_B,17.847,0.827,140,23.2,0.8,89.52396300738795,0,0.99
Hubble,Envisat,35.549,8.613,235,70.1,0.2,111.2686064968922,0,0.99
Iridium-33 Debris,Starlink-1001,18.484,12.571,230,33.4,0.9,117.20545841427273,0,0.99
Starlink-1001,Iridium-33 Debris,48.785,7.036,230,33.4,0.9,147.6961015303033,0,0.99
Hubble,ISS,10.623,0.195,139,23.2,0.2,48.29370256006786,0,0.99
GPS-79,Hubble,2.062,4.322,19653,26.5,0.2,3.1940139761467132,0,0.5336
GPS-79,Hubble,2.863,11.586,19653,26.5,0.2,159.15131543823915,0,0.1619
Iridium-33 Debris,Hubble,0.702,13.086,233,57.9,0.9,163.54879792488495,0,0.145
GPS-79,Starlink-1001,6.974,12.3,19650,2.0,0.2,42.496219072679374,0,0.5491
DEBRIS_B,Tiangong,28.884,7.953,159,13.0,0.8,138.77209657780264,0,0.99
DEBRIS_A,ISS,49.549,0.566,2,0.0,0.8,122.88024424488181,0,0.99
Starlink-1001,Tiangong,5.801,10.894,161,11.5,0.2,125.32603431999891,0,0.5081
Tiangong,GPS-79,2.602,3.135,19811,13.5,0.2,15.406517939199583,0,0.6814
GPS-79,DEBRIS_A,38.046,9.288,19790,3.4,0.8,133.8386111549,0,0.99
Hubble,Starlink-1001,3.834,2.496,3,24.5,0.2,109.49011847610024,0,0.8275
Envisat,Tiangong,17.113,5.994,393,57.1,0.2,163.75210512908882,0,0.99
Iridium-33 Debris,Starlink-1001,20.744,2.274,230,33.4,0.9,17.358844714318572,0,0.99
DEBRIS_A,Hubble,1.128,8.06,137,23.2,0.8,148.27737226911083,0,0.4368
DEBRIS_B,Hubble,25.843,0.714,1,0.0,0.8,112.65771845770581,0,0.99
Iridium-33 Debris,Starlink-1001,5.325,14.035,230,33.4,0.9,159.1601426757514,0,0.5627
Tiangong,ISS,15.475,7.943,19,10.2,0.2,122.93388070272022,0,0.99
DEBRIS_B,Hubble,3.712,14.64,1,0.0,0.8,56.66480343836884,0,0.2817
ISS,GPS-79,15.888,5.051,19792,3.4,0.2,91.1821629372818,0,0.99
Cosmos-1408 Debris,Starlink-1001,48.579,6.297,135,29.6,0.9,142.18458452999838,0,0.99
Hubble,ISS,10.823,8.862,139,23.2,0.2,5.035327442517574,0,0.959
ISS,Iridium-33 Debris,72.677,4.329,372,34.8,0.9,60.401457880960265,0,0.99
Envisat,GPS-79,15.017,5.655,19418,43.5,0.2,86.16809295405469,0,0.99
Envisat,Starlink-1001,10.848,5.453,232,45.5,0.2,99.6564479559243,0,0.9851
Iridium-33 Debris,DEBRIS_B,0.136,8.867,232,57.9,0.9,100.62407725880806,0,0.3117
ISS,DEBRIS_B,6.027,6.787,140,23.2,0.8,112.49064840502677,0,0.9294
GPS-79,Starlink-1001,6.677,5.752,19650,2.0,0.2,101.76985666857583,0,0.8821
Envisat,Starlink-1001,3.457,1.768,232,45.5,0.2,45.39095977370256,0,0.8318
Tiangong,Hubble,3.818,2.782,158,13.0,0.2,14.96848259108223,0,0.8137
Tiangong,Iridium-33 Debris,50.337,0.174,391,44.9,0.9,159.9091987725618,0,0.99
ISS,Cosmos-1408 Debris,2.016,2.077,7,30.9,0.9,24.20076258641406,0,0.8989
Cosmos-1408 Debris,DEBRIS_A,4.01,14.454,5,30.9,0.9,42.96596550190371,0,0.3702
DEBRIS_B,GPS-79,14.429,13.047,19652,26.5,0.8,95.9053764606595,0,0.99
Iridium-33 Debris,Starlink-1001,26.303,10.038,230,33.4,0.9,97.00940124390252,0,0.99
Hubble,DEBRIS_A,20.941,1.448,137,23.2,0.8,48.57031148959414,0,0.99
ISS,Tiangong,34.747,13.181,19,10.2,0.2,53.357160844910425,0,0.99
Cosmos-1408 Debris,Starlink-1001,14.118,8.495,135,29.6,0.9,63.97246834068674,0,0.99
GPS-79,Envisat,13.874,10.056,19418,43.5,0.2,104.11242909501428,0,0.9869
DEBRIS_B,GPS-79,1.73,2.32,19652,26.5,0.8,88.52013556145832,0,0.8543
DEBRIS_A,ISS,25.923,6.52,2,0.0,0.8,150.65832926415655,0,0.99
GPS-79,Starlink-1001,3.245,2.578,19650,2.0,0.2,103.75336006963836,0,0.7772
ISS,Tiangong,18.968,6.059,19,10.2,0.2,164.092167571447,0,0.99
Iridium-33 Debris,Tiangong,18.519,1.692,391,44.9,0.9,95.3517216756929,0,0.99
Hubble,Starlink-1001,1.787,0.139,3,24.5,0.2,107.21771605269467,0,0.7776
DEBRIS_B,Tiangong,7.941,12.614,159,13.0,0.8,151.21388241852608,0,0.8565
DEBRIS_B,Envisat,24.874,11.523,234,70.1,0.8,25.235296219973204,0,0.99
Tiangong,GPS-79,3.664,1.526,19811,13.5,0.2,4.068918597179881,0,0.855
Cosmos-1408 Debris,DEBRIS_A,0.903,2.212,5,30.9,0.9,46.19530864662106,0,0.8303
GPS-79,Cosmos-1408 Debris,0.239,5.182,19785,27.6,0.9,137.56091489031917,0,0.5902
Tiangong,Hubble,13.586,6.078,158,13.0,0.2,61.711925698486034,0,0.99
DEBRIS_B,Hubble,24.168,3.582,1,0.0,0.8,90.76800046209732,0,0.99
Envisat,Iridium-33 Debris,3.167,0.88,2,12.1,0.9,63.64619150327742,0,0.9577
DEBRIS_A,Tiangong,1.394,14.429,21,10.2,0.8,106.70979165473446,0,0.1159
Cosmos-1408 Debris,DEBRIS_B,16.4,11.952,133,54.1,0.9,155.7731558906001,0,0.99
Starlink-1001,DEBRIS_A,16.701,1.485,140,1.4,0.8,43.25823603394621,0,0.99
Hubble,DEBRIS_A,0.552,4.617,137,23.2,0.8,44.27660048803052,0,0.6204
Envisat,GPS-79,26.169,4.268,19418,43.5,0.2,158.32678050726494,0,0.99
ISS,Cosmos-1408 Debris,28.6,3.207,7,30.9,0.9,156.34693653871355,0,0.99
ISS,DEBRIS_A,2.285,3.259,2,0.0,0.8,137.56560718406996,0,0.8538
ISS,DEBRIS_B,12.766,13.998,140,23.2,0.8,96.66992654838332,0,0.9778
Iridium-33 Debris,Hubble,2.883,7.588,233,57.9,0.9,67.03552236297136,0,0.7241
Envisat,GPS-79,1.25,11.673,19418,43.5,0.2,20.58968525168593,0,0.0775
ISS,Envisat,15.756,2.365,374,46.9,0.2,10.400602391881185,0,0.99
Cosmos-1408 Debris,Iridium-33 Debris,17.813,14.757,365,3.8,0.9,40.25833949785391,0,0.99
Envisat,Starlink-1001,15.044,3.511,232,45.5,0.2,39.16118592467414,0,0.99
Envisat,Iridium-33 Debris,7.783,9.846,2,12.1,0.9,59.576264770677646,0,0.9392
ISS,Cosmos-1408 Debris,2.155,6.337,7,30.9,0.9,132.79770585091887,0,0.7264
Hubble,Tiangong,4.14,14.641,158,13.0,0.2,134.67808108515396,0,0.1276
GPS-79,Starlink-1001,4.639,2.324,19650,2.0,0.2,21.45684015522279,0,0.8831
Iridium-33 Debris,GPS-79,29.445,5.947,19420,31.4,0.9,160.64970580995842,0,0.99
Cosmos-1408 Debris,Hubble,1.192,4.263,132,54.1,0.9,156.30054076427058,0,0.7535
DEBRIS_B,DEBRIS_A,33.026,6.814,138,23.2,0.8,148.26494005257916,0,0.99
Starlink-1001,GPS-79,1.122,1.162,19650,2.0,0.2,2.133012991937603,0,0.6485
Envisat,ISS,16.243,2.859,374,46.9,0.2,29.332957402592765,0,0.99
DEBRIS_A,Envisat,21.995,9.407,372,46.9,0.8,64.22766549772122,0,0.99
Iridium-33 Debris,DEBRIS_A,48.218,7.226,370,34.8,0.9,150.507270898739,0,0.99
Envisat,GPS-79,37.942,7.859,19418,43.5,0.2,103.61030414568451,0,0.99
Iridium-33 Debris,Envisat,8.681,9.233,2,12.1,0.9,158.4424331573364,0,0.9668
Starlink-1001,Envisat,16.696,4.822,232,45.5,0.2,147.72920801363705,0,0.99
ISS,Hubble,12.24,2.791,139,23.2,0.2,9.142792954968586,0,0.99
Tiangong,Starlink-1001,1.713,10.311,161,11.5,0.2,15.525122046516506,0,0.1375
DEBRIS_B,GPS-79,10.65,4.533,19652,26.5,0.8,94.9671926010288,0,0.99
Hubble,DEBRIS_B,19.445,14.878,1,0.0,0.8,16.752002920693553,0,0.99
Tiangong,Envisat,14.317,10.349,393,57.1,0.2,63.10613795592368,0,0.9885
ISS,Hubble,20.541,3.117,139,23.2,0.2,160.96053731204393,0,0.99
DEBRIS_B,Iridium-33 Debris,7.301,9.686,232,57.9,0.9,131.1291224151274,0,0.9272
Cosmos-1408 Debris,ISS,0.443,2.587,7,30.9,0.9,30.54350709949233,0,0.7765
DEBRIS_A,GPS-79,1.65,3.459,19790,3.4,0.8,118.12420374031983,0,0.8001
Envisat,ISS,15.179,2.32,374,46.9,0.2,116.86028735428013,0,0.99
Tiangong,Starlink-1001,1.958,11.059,161,11.5,0.2,39.70049089622506,0,0.1258
Iridium-33 Debris,Envisat,2.858,9.6,2,12.1,0.9,83.40633589260955,0,0.5864
Hubble,DEBRIS_A,6.109,0.49,137,23.2,0.8,4.161797157358546,0,0.9891
Cosmos-1408 Debris,Starlink-1001,28.732,3.461,135,29.6,0.9,63.383888259236855,0,0.99
Tiangong,Hubble,1.261,10.946,158,13.0,0.2,83.45582748045483,0,0.095
Iridium-33 Debris,Hubble,2.112,6.043,233,57.9,0.9,155.0084114529399,0,0.7395
ISS,Hubble,4.839,4.207,139,23.2,0.2,132.25855657680933,0,0.826
Cosmos-1408 Debris,Hubble,28.769,0.793,132,54.1,0.9,104.1475360094819,0,0.99
Tiangong,GPS-79,4.053,11.013,19811,13.5,0.2,92.16302600766663,0,0.2937
Hubble,ISS,10.233,14.695,139,23.2,0.2,24.439635652571283,0,0.7517
DEBRIS_A,Starlink-1001,51.331,2.827,140,1.4,0.8,3.799703413950953,0,0.99
Tiangong,Hubble,29.507,10.87,158,13.0,0.2,11.461517963010266,0,0.99
Hubble,Cosmos-1408 Debris,2.279,9.996,132,54.1,0.9,36.38158708981313,0,0.4852
ISS,DEBRIS_A,1.781,5.404,2,0.0,0.8,164.31657923775543,0,0.7046
DEBRIS_A,GPS-79,21.205,7.839,19790,3.4,0.8,34.49956592990464,0,0.99
DEBRIS_B,Starlink-1001,62.985,11.603,2,24.5,0.8,4.661410023771493,0,0.99
Iridium-33 Debris,DEBRIS_B,6.977,6.83,232,57.9,0.9,66.82033546248464,0,0.9623
Envisat,DEBRIS_A,4.854,4.754,372,46.9,0.8,108.00507502319992,0,0.9309
ISS,Iridium-33 Debris,29.192,13.602,372,34.8,0.9,46.59226343073412,0,0.99
Starlink-1001,DEBRIS_A,8.706,9.268,140,1.4,0.8,14.113619869717455,0,0.9598
Hubble,Cosmos-1408 Debris,5.852,14.956,132,54.1,0.9,164.60547467377424,0,0.5594
DEBRIS_A,DEBRIS_B,1.241,10.999,138,23.2,0.8,31.566465413984055,0,0.2536
Envisat,Iridium-33 Debris,34.734,9.81,2,12.1,0.9,52.830807479279706,0,0.99
ISS,Envisat,18.673,12.407,374,46.9,0.2,16.99703264410125,0,0.99
GPS-79,Tiangong,14.27,6.589,19811,13.5,0.2,97.02022979605013,0,0.99
Tiangong,Starlink-1001,20.165,1.685,161,11.5,0.2,52.97499892811727,0,0.99
Starlink-1001,Iridium-33 Debris,1.203,5.172,230,33.4,0.9,145.56629574280032,0,0.7006
Envisat,Tiangong,30.743,11.514,393,57.1,0.2,132.48030893222884,0,0.99
DEBRIS_B,Tiangong,7.409,5.755,159,13.0,0.8,38.16803129285744,0,0.9728
Starlink-1001,DEBRIS_B,8.208,0.505,2,24.5,0.8,162.33226865767142,0,0.99
Cosmos-1408 Debris,ISS,27.438,14.729,7,30.9,0.9,104.42374108886762,0,0.99
GPS-79,Tiangong,11.671,1.538,19811,13.5,0.2,40.713973764659066,0,0.99
Starlink-1001,DEBRIS_A,5.348,11.174,140,1.4,0.8,8.183182160765544,0,0.7155
DEBRIS_A,GPS-79,1.234,3.669,19790,3.4,0.8,133.50969299376194,0,0.7533
DEBRIS_A,DEBRIS_B,10.052,11.09,138,23.2,0.8,88.2877552876349,0,0.9644
GPS-79,Tiangong,8.443,4.823,19811,13.5,0.2,73.06866182817771,0,0.9599
ISS,Envisat,23.324,9.63,374,46.9,0.2,113.67198623661606,0,0.99
DEBRIS_A,ISS,20.415,7.643,2,0.0,0.8,106.56606686808603,0,0.99
DEBRIS_A,Hubble,35.689,3.659,137,23.2,0.8,78.95285396889103,0,0.99
Starlink-1001,Envisat,11.551,12.827,232,45.5,0.2,8.410521701586624,0,0.9111
Hubble,GPS-79,10.782,4.473,19653,26.5,0.2,156.54144949276986,0,0.9884
Starlink-1001,Hubble,31.787,8.664,3,24.5,0.2,5.081294652569816,0,0.99
Starlink-1001,GPS-79,4.48,10.152,19650,2.0,0.2,49.92057094137672,0,0.3999
Tiangong,GPS-79,18.965,12.461,19811,13.5,0.2,6.909812033752011,0,0.99
GPS-79,Iridium-33 Debris,1.935,6.342,19420,31.4,0.9,126.2227942270334,0,0.7037
Cosmos-1408 Debris,DEBRIS_A,32.844,9.021,5,30.9,0.9,84.4115911126176,0,0.99
Iridium-33 Debris,Envisat,20.263,7.997,2,12.1,0.9,139.29207729438795,0,0.99
DEBRIS_A,Envisat,1.323,6.051,372,46.9,0.8,152.91160551572034,0,0.6097
Hubble,Iridium-33 Debris,8.43,10.127,233,57.9,0.9,46.33649915748477,0,0.9515
DEBRIS_B,ISS,29.233,13.758,140,23.2,0.8,72.46241852418244,0,0.99
Iridium-33 Debris,Starlink-1001,2.738,6.515,230,33.4,0.9,24.04155679135248,0,0.7711
GPS-79,Iridium-33 Debris,7.144,0.2,19420,31.4,0.9,64.88832903608996,0,0.99
Hubble,DEBRIS_A,1.668,2.594,137,23.2,0.8,163.30304056577765,0,0.8397
GPS-79,ISS,3.514,13.892,19792,3.4,0.2,69.63582266470928,0,0.1181
Envisat,ISS,27.071,5.619,374,46.9,0.2,63.02951903056361,0,0.99
Tiangong,DEBRIS_B,5.104,14.421,159,13.0,0.8,65.49401015411638,0,0.4565
Hubble,DEBRIS_A,21.526,12.521,137,23.2,0.8,74.050102717456,0,0.99
GPS-79,Envisat,16.97,3.602,19418,43.5,0.2,139.5726009163209,0,0.99
Envisat,Starlink-1001,10.068,6.087,232,45.5,0.2,166.96714449625932,0,0.9736
DEBRIS_A,Cosmos-1408 Debris,2.402,12.803,5,30.9,0.9,119.45754393096138,0,0.3016
Cosmos-1408 Debris,ISS,9.2,0.666,7,30.9,0.9,125.3299004854753,0,0.99
Hubble,GPS-79,44.672,7.742,19653,26.5,0.2,15.827599436522322,0,0.99
Iridium-33 Debris,ISS,12.407,6.674,372,34.8,0.9,101.80631539704761,0,0.99
Envisat,Cosmos-1408 Debris,8.79,9.072,367,16.0,0.9,99.39719490703575,0,0.9699
Starlink-1001,DEBRIS_A,28.157,13.407,140,1.4,0.8,10.586629968642095,0,0.99
ISS,Starlink-1001,21.57,13.946,142,1.4,0.2,5.229253845978497,0,0.99
DEBRIS_B,ISS,4.902,3.24,140,23.2,0.8,160.85552239649635,0,0.956
Envisat,Iridium-33 Debris,20.234,2.228,2,12.1,0.9,126.6005481469451,0,0.99
Tiangong,GPS-79,7.64,10.875,19811,13.5,0.2,47.168155966896364,0,0.7226
DEBRIS_A,Starlink-1001,1.126,14.331,140,1.4,0.8,87.84061102863951,0,0.1056
